Date,Day,CodedDay,Zone,Weather,Temperature,Traffic,year,month,day,is_weekend
2017-09-24,Saturday,6,32,21,38,Normal,2017,9,24,1
2017-02-12,Saturday,6,103,36,16,Normal,2017,2,12,1
2017-08-14,Sunday,7,79,21,15,Normal,2017,8,14,1
2017-05-15,Sunday,7,65,13,40,Normal,2017,5,15,1
2017-04-16,Saturday,6,93,36,20,Normal,2017,4,16,1
2017-04-20,Wednesday,3,29,12,13,Normal,2017,4,20,0
2017-06-10,Friday,5,107,29,36,Normal,2017,6,10,0
2017-07-13,Wednesday,3,117,0,42,Normal,2017,7,13,0
2017-10-27,Thursday,4,48,6,18,Normal,2017,10,27,0
2017-04-17,Sunday,7,92,40,30,Normal,2017,4,17,1
2017-01-19,Thursday,4,118,47,10,Normal,2017,1,19,0
2017-03-04,Friday,5,54,39,29,Normal,2017,3,4,0
2017-08-15,Monday,1,52,2,41,Normal,2017,8,15,0
2017-07-25,Monday,1,68,47,23,Normal,2017,7,25,0
2017-10-26,Wednesday,3,66,47,6,Normal,2017,10,26,0
2017-11-20,Sunday,7,20,47,34,Normal,2017,11,20,1
2017-01-10,Tuesday,2,63,34,16,Normal,2017,1,10,0
2017-12-24,Saturday,6,124,40,6,Normal,2017,12,24,1
2017-03-24,Thursday,4,39,4,30,Normal,2017,3,24,0
2017-10-18,Tuesday,2,53,21,40,Normal,2017,10,18,0
2017-04-03,Sunday,7,17,38,41,Normal,2017,4,3,1
2017-02-12,Saturday,6,97,26,29,Normal,2017,2,12,1
2017-12-31,Saturday,6,35,13,38,Normal,2017,12,31,1
2017-06-11,Saturday,6,58,25,21,Normal,2017,6,11,1
2017-01-27,Friday,5,60,25,43,Normal,2017,1,27,0
2017-10-10,Monday,1,24,39,30,Normal,2017,10,10,0
2017-08-01,Monday,1,54,1,18,Normal,2017,8,1,0
2017-02-24,Thursday,4,20,28,39,Normal,2017,2,24,0
2017-05-19,Thursday,4,67,30,31,Normal,2017,5,19,0
2017-10-28,Friday,5,114,32,12,Normal,2017,10,28,0
2017-10-14,Friday,5,110,9,9,Normal,2017,10,14,0
2017-12-21,Wednesday,3,19,24,27,Normal,2017,12,21,0
2017-12-28,Wednesday,3,36,7,21,Normal,2017,12,28,0
2017-04-13,Wednesday,3,27,26,32,Normal,2017,4,13,0
2017-09-24,Saturday,6,47,36,11,Normal,2017,9,24,1
2017-08-24,Wednesday,3,74,19,37,Normal,2017,8,24,0
2017-09-14,Wednesday,3,15,44,40,Normal,2017,9,14,0
2017-09-22,Thursday,4,62,25,45,Normal,2017,9,22,0
2017-04-05,Tuesday,2,29,32,6,Normal,2017,4,5,0
2017-08-19,Friday,5,96,32,45,Normal,2017,8,19,0
2017-09-26,Monday,1,24,33,13,Normal,2017,9,26,0
2017-11-24,Thursday,4,106,42,25,Normal,2017,11,24,0
2017-04-16,Saturday,6,128,22,9,Normal,2017,4,16,1
2017-06-18,Saturday,6,31,34,8,Normal,2017,6,18,1
2017-08-12,Friday,5,59,6,26,Normal,2017,8,12,0
2017-11-10,Thursday,4,39,38,9,Normal,2017,11,10,0
2017-01-08,Sunday,7,109,26,29,Normal,2017,1,8,1
2017-09-18,Sunday,7,24,7,30,Normal,2017,9,18,1
2017-11-05,Saturday,6,81,12,22,Normal,2017,11,5,1
2017-08-26,Friday,5,37,30,21,Normal,2017,8,26,0
2017-09-21,Wednesday,3,119,21,18,Normal,2017,9,21,0
2017-07-24,Sunday,7,47,10,40,Normal,2017,7,24,1
2017-10-21,Friday,5,120,4,12,Normal,2017,10,21,0
2017-12-27,Tuesday,2,59,33,18,Normal,2017,12,27,0
2017-10-13,Thursday,4,94,13,30,Normal,2017,10,13,0
2017-05-12,Thursday,4,45,8,10,Normal,2017,5,12,0
2017-06-15,Wednesday,3,43,46,45,Normal,2017,6,15,0
2017-10-09,Sunday,7,108,10,14,Normal,2017,10,9,1
2017-03-07,Monday,1,124,1,40,Normal,2017,3,7,0
2017-12-19,Monday,1,88,6,8,Normal,2017,12,19,0
2017-11-06,Sunday,7,21,12,26,Normal,2017,11,6,1
2017-07-11,Monday,1,36,37,39,Normal,2017,7,11,0
2017-08-07,Sunday,7,64,30,41,Normal,2017,8,7,1
2017-07-12,Tuesday,2,44,43,7,Normal,2017,7,12,0
2017-01-25,Wednesday,3,67,7,10,Normal,2017,1,25,0
2017-08-26,Friday,5,56,6,18,Normal,2017,8,26,0
2017-09-14,Wednesday,3,113,46,35,Normal,2017,9,14,0
2017-07-08,Friday,5,87,9,29,Normal,2017,7,8,0
2017-12-11,Sunday,7,20,2,43,Normal,2017,12,11,1
2017-06-25,Saturday,6,89,47,13,Normal,2017,6,25,1
2017-08-28,Sunday,7,92,31,41,Normal,2017,8,28,1
2017-05-28,Saturday,6,128,18,8,Normal,2017,5,28,1
2017-03-10,Thursday,4,77,1,39,Normal,2017,3,10,0
2017-11-17,Thursday,4,115,11,17,Normal,2017,11,17,0
2017-04-19,Tuesday,2,126,25,15,Normal,2017,4,19,0
2017-04-10,Sunday,7,94,5,19,Normal,2017,4,10,1
2017-03-06,Sunday,7,32,44,33,Normal,2017,3,6,1
2017-08-20,Saturday,6,52,26,29,Normal,2017,8,20,1
2017-02-27,Sunday,7,17,40,35,Normal,2017,2,27,1
2017-05-11,Wednesday,3,84,8,21,Normal,2017,5,11,0
2017-11-26,Saturday,6,61,15,8,Normal,2017,11,26,1
2017-08-25,Thursday,4,84,22,24,Normal,2017,8,25,0
2017-06-28,Tuesday,2,71,16,7,Normal,2017,6,28,0
2017-03-02,Wednesday,3,64,16,27,Normal,2017,3,2,0
2017-08-07,Sunday,7,65,21,17,Normal,2017,8,7,1
2017-06-02,Thursday,4,86,16,18,Normal,2017,6,2,0
2017-04-24,Sunday,7,29,17,8,Normal,2017,4,24,1
2017-08-26,Friday,5,35,18,20,Normal,2017,8,26,0
2017-07-16,Saturday,6,69,47,29,Normal,2017,7,16,1
2017-07-01,Friday,5,57,20,21,Normal,2017,7,1,0
2017-11-19,Saturday,6,102,40,30,Normal,2017,11,19,1
2017-11-11,Friday,5,54,8,45,Normal,2017,11,11,0
2017-03-24,Thursday,4,84,41,32,Normal,2017,3,24,0
2017-09-14,Wednesday,3,97,18,42,Normal,2017,9,14,0
2017-07-11,Monday,1,105,38,8,Normal,2017,7,11,0
2017-06-23,Thursday,4,61,24,6,Normal,2017,6,23,0
2017-07-25,Monday,1,104,4,30,Normal,2017,7,25,0
2017-03-23,Wednesday,3,110,20,45,Normal,2017,3,23,0
2017-02-20,Sunday,7,95,29,11,Normal,2017,2,20,1
2017-12-07,Wednesday,3,65,10,30,Normal,2017,12,7,0
2017-05-17,Tuesday,2,60,3,43,Normal,2017,5,17,0
2017-04-13,Wednesday,3,125,16,44,Normal,2017,4,13,0
2017-01-14,Saturday,6,116,17,41,Normal,2017,1,14,1
2017-03-04,Friday,5,71,22,8,Normal,2017,3,4,0
2017-05-13,Friday,5,103,39,41,Normal,2017,5,13,0
2017-05-31,Tuesday,2,106,1,18,Normal,2017,5,31,0
2017-09-13,Tuesday,2,110,23,38,Normal,2017,9,13,0
2017-09-03,Saturday,6,79,4,41,Normal,2017,9,3,1
2017-12-12,Monday,1,20,6,36,Normal,2017,12,12,0
2017-12-02,Friday,5,47,8,16,Normal,2017,12,2,0
2017-04-03,Sunday,7,71,32,26,Normal,2017,4,3,1
2017-11-06,Sunday,7,52,6,29,Normal,2017,11,6,1
2017-05-07,Saturday,6,26,25,37,Normal,2017,5,7,1
2017-03-22,Tuesday,2,17,24,8,Normal,2017,3,22,0
2017-09-21,Wednesday,3,36,46,40,Normal,2017,9,21,0
2017-04-18,Monday,1,104,42,18,Normal,2017,4,18,0
2017-09-12,Monday,1,78,34,32,Normal,2017,9,12,0
2017-08-24,Wednesday,3,34,15,17,Normal,2017,8,24,0
2017-09-02,Friday,5,45,33,29,Normal,2017,9,2,0
2017-07-30,Saturday,6,86,44,15,Normal,2017,7,30,1
2017-07-03,Sunday,7,33,29,45,Normal,2017,7,3,1
2017-04-02,Saturday,6,93,37,26,Normal,2017,4,2,1
2017-01-13,Friday,5,29,31,32,Normal,2017,1,13,0
2017-10-14,Friday,5,99,8,18,Normal,2017,10,14,0
2017-01-18,Wednesday,3,66,34,10,Normal,2017,1,18,0
2017-07-09,Saturday,6,40,25,11,Normal,2017,7,9,1
2017-11-07,Monday,1,54,21,45,Normal,2017,11,7,0
2017-10-03,Monday,1,72,8,13,Normal,2017,10,3,0
2017-07-29,Friday,5,98,6,44,Normal,2017,7,29,0
2017-12-24,Saturday,6,36,10,6,Normal,2017,12,24,1
2017-03-02,Wednesday,3,118,34,39,Normal,2017,3,2,0
2017-02-08,Tuesday,2,82,35,32,Normal,2017,2,8,0
2017-06-18,Saturday,6,82,46,17,Normal,2017,6,18,1
2017-01-23,Monday,1,89,25,13,Normal,2017,1,23,0
2017-07-21,Thursday,4,100,30,7,Normal,2017,7,21,0
2017-01-22,Sunday,7,105,14,32,Normal,2017,1,22,1
2017-09-10,Saturday,6,17,18,44,Normal,2017,9,10,1
2017-02-20,Sunday,7,130,23,34,Normal,2017,2,20,1
2017-07-25,Monday,1,86,46,22,Normal,2017,7,25,0
2017-11-23,Wednesday,3,59,40,39,Normal,2017,11,23,0
2017-08-25,Thursday,4,61,46,28,Normal,2017,8,25,0
2017-09-09,Friday,5,77,30,45,Normal,2017,9,9,0
2017-11-07,Monday,1,93,23,10,Normal,2017,11,7,0
2017-05-20,Friday,5,127,4,12,Normal,2017,5,20,0
2017-02-18,Friday,5,62,24,6,Normal,2017,2,18,0
2017-05-06,Friday,5,54,0,6,Normal,2017,5,6,0
2017-07-15,Friday,5,124,44,23,Normal,2017,7,15,0
2017-08-13,Saturday,6,56,10,37,Normal,2017,8,13,1
2017-06-23,Thursday,4,105,9,17,Normal,2017,6,23,0
2017-04-27,Wednesday,3,92,17,40,Normal,2017,4,27,0
2017-04-03,Sunday,7,111,13,18,Normal,2017,4,3,1
2017-02-24,Thursday,4,130,34,27,Normal,2017,2,24,0
2017-08-17,Wednesday,3,74,25,9,Normal,2017,8,17,0
2017-05-29,Sunday,7,114,14,6,Normal,2017,5,29,1
2017-01-19,Thursday,4,75,20,40,Normal,2017,1,19,0
2017-12-07,Wednesday,3,110,17,26,Normal,2017,12,7,0
2017-11-12,Saturday,6,38,16,17,Normal,2017,11,12,1
2017-10-02,Sunday,7,37,45,36,Normal,2017,10,2,1
2017-06-02,Thursday,4,29,30,44,Normal,2017,6,2,0
2017-02-25,Friday,5,113,0,17,Normal,2017,2,25,0
2017-08-07,Sunday,7,42,34,23,Normal,2017,8,7,1
2017-03-21,Monday,1,117,43,21,Normal,2017,3,21,0
2017-07-27,Wednesday,3,101,0,14,Normal,2017,7,27,0
2017-09-16,Friday,5,112,2,10,Normal,2017,9,16,0
2017-11-13,Sunday,7,31,31,13,Normal,2017,11,13,1
2017-12-01,Thursday,4,73,2,38,Normal,2017,12,1,0
2017-06-04,Saturday,6,87,26,10,Normal,2017,6,4,1
2017-03-13,Sunday,7,20,38,8,Normal,2017,3,13,1
2017-04-07,Thursday,4,47,42,37,Normal,2017,4,7,0
2017-05-23,Monday,1,54,29,21,Normal,2017,5,23,0
2017-09-15,Thursday,4,42,40,34,Normal,2017,9,15,0
2017-09-15,Thursday,4,61,8,41,Normal,2017,9,15,0
2017-08-25,Thursday,4,124,39,26,Normal,2017,8,25,0
2017-05-26,Thursday,4,121,10,32,Normal,2017,5,26,0
2017-04-27,Wednesday,3,58,38,9,Normal,2017,4,27,0
2017-11-12,Saturday,6,99,40,11,Normal,2017,11,12,1
2017-05-18,Wednesday,3,72,36,11,Normal,2017,5,18,0
2017-08-12,Friday,5,100,38,12,Normal,2017,8,12,0
2017-11-19,Saturday,6,116,4,28,Normal,2017,11,19,1
2017-04-15,Friday,5,63,16,21,Normal,2017,4,15,0
2017-04-02,Saturday,6,42,8,31,Normal,2017,4,2,1
2017-04-29,Friday,5,105,1,14,Normal,2017,4,29,0
2017-01-13,Friday,5,65,13,21,Normal,2017,1,13,0
2017-05-31,Tuesday,2,96,43,11,Normal,2017,5,31,0
2017-12-21,Wednesday,3,58,32,11,Normal,2017,12,21,0
2017-02-01,Tuesday,2,24,31,37,Normal,2017,2,1,0
2017-11-15,Tuesday,2,64,11,37,Normal,2017,11,15,0
2017-02-02,Wednesday,3,116,40,38,Normal,2017,2,2,0
2017-02-05,Saturday,6,80,17,23,Normal,2017,2,5,1
2017-07-24,Sunday,7,122,37,42,Normal,2017,7,24,1
2017-08-06,Saturday,6,120,19,33,Normal,2017,8,6,1
2017-07-17,Sunday,7,52,30,9,Normal,2017,7,17,1
2017-07-24,Sunday,7,85,16,27,Normal,2017,7,24,1
2017-11-15,Tuesday,2,59,0,29,Normal,2017,11,15,0
2017-05-26,Thursday,4,127,2,12,Normal,2017,5,26,0
2017-10-29,Saturday,6,30,22,16,Normal,2017,10,29,1
2017-07-27,Wednesday,3,39,23,45,Normal,2017,7,27,0
2017-05-21,Saturday,6,98,27,32,Normal,2017,5,21,1
2017-04-09,Saturday,6,106,34,27,Normal,2017,4,9,1
2017-10-14,Friday,5,97,20,23,Normal,2017,10,14,0
2017-05-30,Monday,1,105,43,31,Normal,2017,5,30,0
2017-12-27,Tuesday,2,37,12,41,Normal,2017,12,27,0
2017-02-19,Saturday,6,27,44,9,Normal,2017,2,19,1
2017-01-14,Saturday,6,35,16,35,Normal,2017,1,14,1
2017-05-17,Tuesday,2,87,23,27,Normal,2017,5,17,0
2017-11-17,Thursday,4,102,22,12,Normal,2017,11,17,0
2017-03-28,Monday,1,48,1,25,Normal,2017,3,28,0
2017-07-10,Sunday,7,115,1,19,Normal,2017,7,10,1
2017-01-24,Tuesday,2,16,7,30,Normal,2017,1,24,0
2017-09-16,Friday,5,73,5,14,Normal,2017,9,16,0
2017-06-08,Wednesday,3,20,3,7,Normal,2017,6,8,0
2017-02-01,Tuesday,2,67,21,7,Normal,2017,2,1,0
2017-01-18,Wednesday,3,98,47,10,Normal,2017,1,18,0
2017-02-12,Saturday,6,74,13,15,Normal,2017,2,12,1
2017-07-15,Friday,5,84,31,13,Normal,2017,7,15,0
2017-09-12,Monday,1,87,5,44,Normal,2017,9,12,0
2017-08-11,Thursday,4,113,34,28,Normal,2017,8,11,0
2017-04-16,Saturday,6,85,15,6,Normal,2017,4,16,1
2017-06-20,Monday,1,93,31,24,Normal,2017,6,20,0
2017-10-28,Friday,5,85,41,43,Normal,2017,10,28,0
2017-04-20,Wednesday,3,94,24,14,Normal,2017,4,20,0
2017-06-22,Wednesday,3,84,12,30,Normal,2017,6,22,0
2017-07-26,Tuesday,2,84,14,14,Normal,2017,7,26,0
2017-08-23,Tuesday,2,78,5,42,Normal,2017,8,23,0
2017-07-09,Saturday,6,83,14,39,Normal,2017,7,9,1
2017-04-11,Monday,1,107,26,29,Normal,2017,4,11,0
2017-12-17,Saturday,6,104,41,34,Normal,2017,12,17,1
2017-05-26,Thursday,4,100,9,7,Normal,2017,5,26,0
2017-04-19,Tuesday,2,22,26,25,Normal,2017,4,19,0
2017-04-24,Sunday,7,83,10,16,Normal,2017,4,24,1
2017-09-10,Saturday,6,105,7,31,Normal,2017,9,10,1
2017-08-31,Wednesday,3,36,44,38,Normal,2017,8,31,0
2017-08-12,Friday,5,39,23,43,Normal,2017,8,12,0
2017-05-07,Saturday,6,85,18,14,Normal,2017,5,7,1
2017-05-20,Friday,5,98,44,7,Normal,2017,5,20,0
2017-02-25,Friday,5,103,40,17,Normal,2017,2,25,0
2017-01-15,Sunday,7,41,19,45,Normal,2017,1,15,1
2017-11-30,Wednesday,3,115,14,10,Normal,2017,11,30,0
2017-09-28,Wednesday,3,48,27,35,Normal,2017,9,28,0
2017-12-05,Monday,1,58,46,37,Normal,2017,12,5,0
2017-09-28,Wednesday,3,66,32,41,Normal,2017,9,28,0
2017-06-13,Monday,1,34,5,16,Normal,2017,6,13,0
2017-03-28,Monday,1,99,21,21,Normal,2017,3,28,0
2017-02-04,Friday,5,107,24,42,Normal,2017,2,4,0
2017-08-25,Thursday,4,26,11,20,Normal,2017,8,25,0
2017-12-26,Monday,1,95,28,9,Normal,2017,12,26,0
2017-05-19,Thursday,4,36,33,45,Normal,2017,5,19,0
2017-07-16,Saturday,6,68,4,30,Normal,2017,7,16,1
2017-03-11,Friday,5,71,41,26,Normal,2017,3,11,0
2017-05-01,Sunday,7,79,10,28,Normal,2017,5,1,1
2017-10-25,Tuesday,2,65,9,29,Normal,2017,10,25,0
2017-10-14,Friday,5,56,2,27,Normal,2017,10,14,0
2017-03-02,Wednesday,3,27,33,41,Normal,2017,3,2,0
2017-08-15,Monday,1,41,20,12,Normal,2017,8,15,0
2017-03-07,Monday,1,106,13,20,Normal,2017,3,7,0
